"item_id","flow","step","title","schedule","status","source_url"
"bundle-opic-plan-2w-w1-월","오픽 모의고사 2주 플랜","1주차 · 1~5회","1회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":1,""weekday"":""월""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w1-화","오픽 모의고사 2주 플랜","1주차 · 1~5회","2회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":1,""weekday"":""화""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w1-수","오픽 모의고사 2주 플랜","1주차 · 1~5회","3회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":1,""weekday"":""수""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w1-목","오픽 모의고사 2주 플랜","1주차 · 1~5회","4회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":1,""weekday"":""목""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w1-금","오픽 모의고사 2주 플랜","1주차 · 1~5회","5회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":1,""weekday"":""금""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w1-토","오픽 모의고사 2주 플랜","1주차 · 1~5회","1~5회 답변 총복습","{""type"":""relative_weekday"",""week"":1,""weekday"":""토""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w2-월","오픽 모의고사 2주 플랜","2주차 · 6~10회","6회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":2,""weekday"":""월""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w2-화","오픽 모의고사 2주 플랜","2주차 · 6~10회","7회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":2,""weekday"":""화""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w2-수","오픽 모의고사 2주 플랜","2주차 · 6~10회","8회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":2,""weekday"":""수""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w2-목","오픽 모의고사 2주 플랜","2주차 · 6~10회","9회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":2,""weekday"":""목""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
"bundle-opic-plan-2w-w2-금","오픽 모의고사 2주 플랜","2주차 · 6~10회","10회 모의고사 실전처럼 풀기","{""type"":""relative_weekday"",""week"":2,""weekday"":""금""}","not_started","https://mansour.tistory.com/entry/%EC%98%A4%ED%94%BD-%EB%AA%A8%EC%9D%98%EA%B3%A0%EC%82%AC-%EA%B3%B5%EB%B6%80-%EB%B0%A9%EB%B2%95"
